date,feature,sentiment,count
02-Sep-2015,packaging,positive,2
21-Dec-2015,support,Neutral,10
03-Jul-2015,comparatively,negative,5
19-Dec-2015,comparatively,negative,5
24-Mar-2015,support,Neutral,0
26-Dec-2015,packaging,Neutral,9
15-Nov-2015,support,negative,3
23-May-2015,quality,negative,8
04-Nov-2015,support,Neutral,2
13-Aug-2015,comparatively,negative,6
19-May-2015,comparatively,positive,7
27-Dec-2015,quality,Neutral,2
08-Jun-2015,delivery_and_return,negative,0
30-Jan-2015,packaging,Neutral,5
27-Apr-2015,delivery_and_return,positive,5
06-Oct-2015,support,Neutral,10
02-Feb-2015,support,negative,8
25-Jul-2015,packaging,Neutral,10
20-Apr-2015,support,negative,10
18-Dec-2015,packaging,Neutral,3
28-Nov-2015,delivery_and_return,Neutral,7
13-May-2015,support,negative,10
03-Aug-2015,support,Neutral,10
18-Apr-2015,comparatively,positive,1
02-Oct-2015,comparatively,negative,8
19-Feb-2015,delivery_and_return,negative,2
03-Feb-2015,delivery_and_return,positive,5
06-Nov-2015,quality,Neutral,5
04-Aug-2015,packaging,Neutral,7
02-Aug-2015,packaging,negative,0
17-May-2015,comparatively,positive,7
25-Sep-2015,support,negative,1
10-Apr-2015,comparatively,positive,6
04-May-2015,packaging,positive,4
30-Dec-2015,quality,Neutral,10
28-Jan-2015,support,negative,0
11-Jan-2015,comparatively,Neutral,10
25-Oct-2015,support,positive,9
11-May-2015,support,positive,1
26-May-2015,support,Neutral,1
27-May-2015,packaging,Neutral,7
07-Apr-2015,support,positive,1
28-Jan-2015,delivery_and_return,positive,5
14-Nov-2015,comparatively,negative,7
01-Nov-2015,quality,positive,10
24-Jul-2015,support,negative,5
28-Feb-2015,packaging,Neutral,6
23-May-2015,support,positive,4
14-Aug-2015,support,positive,0
13-May-2015,support,Neutral,8
20-Jul-2015,comparatively,Neutral,4
23-Dec-2015,quality,Neutral,8
16-Feb-2015,packaging,positive,6
03-Sep-2015,support,negative,9
28-Nov-2015,comparatively,positive,5
16-Jul-2015,quality,negative,4
28-Sep-2015,delivery_and_return,negative,7
17-Feb-2015,quality,negative,9
21-Mar-2015,delivery_and_return,positive,2
23-May-2015,support,positive,5
20-Nov-2015,quality,Neutral,1
22-Aug-2015,packaging,Neutral,2
19-Nov-2015,support,positive,3
06-May-2015,quality,negative,10
12-Dec-2015,quality,Neutral,10
22-Jun-2015,support,Neutral,8
01-Nov-2015,quality,positive,8
25-Aug-2015,comparatively,Neutral,3
28-Mar-2015,delivery_and_return,Neutral,1
25-Apr-2015,packaging,Neutral,4
04-Jan-2015,support,negative,1
14-Sep-2015,support,Neutral,6
13-Jan-2015,support,Neutral,0
06-Mar-2015,packaging,negative,3
16-Jan-2015,quality,positive,3
17-Oct-2015,quality,negative,7
20-Aug-2015,support,Neutral,2
26-May-2015,delivery_and_return,Neutral,4
27-Oct-2015,support,Neutral,6
04-Jul-2015,support,positive,1
12-Aug-2015,support,positive,8
15-Jun-2015,comparatively,Neutral,0
14-Nov-2015,delivery_and_return,positive,2
02-Jun-2015,packaging,Neutral,7
14-Nov-2015,packaging,positive,10
11-Dec-2015,delivery_and_return,negative,10
04-Aug-2015,support,positive,0
17-Jun-2015,packaging,positive,0
20-Dec-2015,delivery_and_return,Neutral,8
17-Sep-2015,quality,Neutral,7
09-Aug-2015,comparatively,Neutral,5
25-Dec-2015,support,Neutral,3
13-Jan-2015,delivery_and_return,positive,10
02-Mar-2015,support,negative,6
24-Mar-2015,support,Neutral,5
15-Sep-2015,delivery_and_return,positive,8
13-Aug-2015,quality,Neutral,2
31-May-2015,packaging,negative,1
05-Feb-2015,support,Neutral,6
22-Sep-2015,support,positive,3
16-Jun-2015,quality,positive,10
14-Jun-2015,comparatively,Neutral,0
24-Jun-2015,support,positive,1
13-Mar-2015,comparatively,Neutral,0
11-Oct-2015,delivery_and_return,positive,10
18-Jun-2015,support,Neutral,4
26-May-2015,delivery_and_return,Neutral,7
07-Jul-2015,comparatively,negative,3
10-May-2015,support,positive,0
21-Nov-2015,support,positive,4
12-Jul-2015,comparatively,negative,0
04-Apr-2015,quality,Neutral,3
18-Oct-2015,support,positive,0
19-Feb-2015,delivery_and_return,negative,4
05-Jan-2015,packaging,positive,0
10-Oct-2015,support,negative,7
16-Jan-2015,support,Neutral,8
26-Jun-2015,delivery_and_return,Neutral,4
09-Apr-2015,support,negative,2
26-Feb-2015,comparatively,positive,3
12-Oct-2015,support,negative,6
20-Mar-2015,delivery_and_return,positive,4
19-May-2015,packaging,positive,4
11-Dec-2015,support,negative,9
21-Mar-2015,support,Neutral,10
21-Aug-2015,quality,negative,0
03-Mar-2015,packaging,negative,4
08-Apr-2015,support,positive,9
03-Jul-2015,delivery_and_return,positive,9
05-May-2015,support,negative,5
16-Dec-2015,comparatively,Neutral,0
31-May-2015,delivery_and_return,negative,1
01-Aug-2015,quality,positive,10
11-Jan-2015,packaging,positive,0
31-Jul-2015,support,positive,2
05-Jul-2015,comparatively,Neutral,5
14-Mar-2015,support,Neutral,8
03-Jan-2015,support,positive,8
04-May-2015,quality,Neutral,0
15-Mar-2015,support,negative,10
01-Jun-2015,support,Neutral,1
28-Jun-2015,quality,negative,8
01-Oct-2015,comparatively,positive,3
06-Dec-2015,delivery_and_return,positive,1
15-May-2015,packaging,negative,5
12-Dec-2015,delivery_and_return,positive,6
30-Oct-2015,support,positive,3
19-Nov-2015,support,positive,8
18-Feb-2015,delivery_and_return,negative,5
26-Jan-2015,support,negative,7
27-Aug-2015,quality,positive,2
02-Nov-2015,support,negative,1
19-Feb-2015,packaging,negative,8
23-Feb-2015,packaging,positive,1
04-Nov-2015,delivery_and_return,negative,1
24-Jun-2015,support,negative,4
16-Feb-2015,support,negative,8
17-Sep-2015,packaging,positive,10
18-Feb-2015,comparatively,positive,7
17-Feb-2015,packaging,Neutral,5
02-Sep-2015,comparatively,Neutral,6
04-Sep-2015,quality,positive,8
02-Apr-2015,quality,negative,1
27-Dec-2015,delivery_and_return,negative,2
21-Apr-2015,comparatively,Neutral,3
25-Feb-2015,support,negative,4
02-Mar-2015,delivery_and_return,positive,2
10-Jan-2015,comparatively,positive,2
20-Sep-2015,support,positive,8
14-Oct-2015,quality,Neutral,10
22-Apr-2015,delivery_and_return,negative,1
24-May-2015,comparatively,negative,4
29-Oct-2015,comparatively,negative,2
13-Feb-2015,comparatively,negative,6
13-Mar-2015,comparatively,positive,8
28-May-2015,support,Neutral,2
26-Apr-2015,quality,Neutral,10
02-Dec-2015,support,positive,10
17-Sep-2015,support,Neutral,1
29-Aug-2015,support,negative,8
22-Jan-2015,support,negative,9
27-Sep-2015,support,positive,1
23-Aug-2015,quality,negative,9
15-Jan-2015,packaging,positive,7
22-Feb-2015,support,negative,9
12-Oct-2015,delivery_and_return,Neutral,2
25-Oct-2015,support,negative,5
30-Aug-2015,delivery_and_return,negative,1
24-Aug-2015,delivery_and_return,positive,3
19-Oct-2015,quality,positive,1
01-Aug-2015,comparatively,positive,3
18-Dec-2015,packaging,positive,5
07-Apr-2015,quality,positive,10
13-Jan-2015,comparatively,negative,3
16-May-2015,quality,positive,10
06-Nov-2015,delivery_and_return,positive,3
14-Feb-2015,delivery_and_return,positive,3
05-Oct-2015,support,negative,2
25-Sep-2015,support,Neutral,0
16-Sep-2015,support,negative,8
22-Sep-2015,delivery_and_return,Neutral,0
20-Sep-2015,support,negative,2
02-Oct-2015,delivery_and_return,Neutral,7
26-Oct-2015,comparatively,positive,1
08-Mar-2015,support,positive,4
06-Oct-2015,comparatively,negative,8
20-Nov-2015,packaging,Neutral,9
31-Jul-2015,comparatively,negative,10
30-Mar-2015,quality,Neutral,1
02-Nov-2015,delivery_and_return,positive,1
08-Sep-2015,support,positive,7
09-Aug-2015,delivery_and_return,Neutral,7
27-Jun-2015,delivery_and_return,Neutral,3
02-Jul-2015,support,Neutral,10
12-Oct-2015,support,Neutral,8
29-Jul-2015,support,Neutral,8
12-Jun-2015,quality,Neutral,1
17-Feb-2015,packaging,positive,8
11-Jun-2015,packaging,Neutral,9
14-Feb-2015,comparatively,Neutral,0
05-May-2015,support,Neutral,3
02-Jan-2015,support,Neutral,0
19-Nov-2015,quality,negative,6
08-Jul-2015,packaging,Neutral,3
03-Jun-2015,comparatively,Neutral,7
06-Jul-2015,packaging,Neutral,2
01-Jul-2015,support,positive,3
02-Aug-2015,support,positive,1
08-Apr-2015,packaging,negative,0
24-Dec-2015,support,negative,9
03-May-2015,quality,positive,7
15-Sep-2015,support,negative,7
15-Jul-2015,quality,positive,2
30-Oct-2015,packaging,negative,8
13-Dec-2015,support,negative,5
12-Jun-2015,delivery_and_return,Neutral,4
02-Feb-2015,support,negative,9
30-Jun-2015,delivery_and_return,positive,5
27-Dec-2015,packaging,Neutral,4
24-Jun-2015,support,Neutral,0
24-Mar-2015,comparatively,positive,3
24-Feb-2015,delivery_and_return,Neutral,5
01-Nov-2015,comparatively,Neutral,3
06-Jun-2015,comparatively,negative,3
09-Mar-2015,packaging,positive,9
01-Feb-2015,packaging,positive,1
21-Jul-2015,quality,negative,10
26-Jul-2015,delivery_and_return,positive,8
13-Dec-2015,support,positive,10
29-Jun-2015,delivery_and_return,Neutral,9
30-Jun-2015,quality,Neutral,7
07-Jul-2015,support,negative,2
08-Nov-2015,packaging,positive,5
15-Jun-2015,support,positive,3
08-Sep-2015,comparatively,Neutral,9
26-Feb-2015,quality,positive,6
24-Jan-2015,packaging,positive,3
13-Dec-2015,support,Neutral,4
03-Oct-2015,comparatively,positive,10
01-Jan-2015,support,negative,8
17-Jan-2015,packaging,positive,1
18-Aug-2015,delivery_and_return,positive,7
27-Feb-2015,quality,negative,3
22-Jun-2015,support,negative,5
04-May-2015,support,negative,3
20-Nov-2015,packaging,positive,7
27-Nov-2015,comparatively,Neutral,4
19-Jun-2015,delivery_and_return,Neutral,4
09-Oct-2015,delivery_and_return,Neutral,3
16-Nov-2015,support,positive,6
20-Feb-2015,support,negative,1
18-Mar-2015,support,Neutral,4
15-Feb-2015,delivery_and_return,Neutral,7
18-Apr-2015,support,positive,1
15-May-2015,support,positive,7
22-Dec-2015,delivery_and_return,Neutral,1
16-Mar-2015,packaging,negative,1
27-Jun-2015,support,negative,0
30-Oct-2015,quality,Neutral,5
21-Mar-2015,packaging,Neutral,8
22-Nov-2015,delivery_and_return,negative,10
05-Mar-2015,support,Neutral,5
15-Oct-2015,delivery_and_return,negative,2
08-Sep-2015,comparatively,positive,8
24-Jan-2015,packaging,Neutral,3
25-Apr-2015,quality,positive,1
01-Aug-2015,support,negative,1
25-May-2015,support,Neutral,0
08-Dec-2015,comparatively,negative,10
24-Apr-2015,delivery_and_return,positive,10
08-Jan-2015,delivery_and_return,Neutral,4
11-Apr-2015,quality,Neutral,1
01-Oct-2015,quality,Neutral,7
27-Dec-2015,delivery_and_return,negative,6
24-Mar-2015,comparatively,positive,6
24-May-2015,packaging,positive,3
15-Jun-2015,comparatively,Neutral,3
01-Aug-2015,support,Neutral,1
03-Oct-2015,delivery_and_return,negative,3
21-Sep-2015,quality,Neutral,8
20-Nov-2015,comparatively,Neutral,4
18-Nov-2015,support,positive,1
23-Feb-2015,packaging,positive,2
21-Aug-2015,quality,negative,6
02-Apr-2015,support,positive,10
18-Oct-2015,support,Neutral,1
15-Jul-2015,support,negative,1
07-May-2015,support,negative,9
15-Mar-2015,support,Neutral,10
08-May-2015,packaging,negative,10
14-Apr-2015,quality,negative,7
28-Nov-2015,delivery_and_return,Neutral,5
29-Apr-2015,support,negative,10
15-Nov-2015,quality,positive,0
30-Oct-2015,support,positive,0
21-Jan-2015,support,positive,3
04-May-2015,support,Neutral,8
22-Dec-2015,quality,positive,6
15-Mar-2015,quality,negative,8
21-Oct-2015,quality,Neutral,0
20-Jan-2015,packaging,negative,9
20-Apr-2015,support,negative,7
30-Jan-2015,support,positive,1
26-Jul-2015,support,positive,9
10-Sep-2015,support,negative,3
01-Jan-2015,quality,negative,0
09-Feb-2015,quality,positive,3
04-Dec-2015,support,Neutral,2
21-Jan-2015,packaging,negative,9
04-Nov-2015,support,negative,9
01-Jun-2015,quality,Neutral,5
21-Jan-2015,packaging,positive,1
21-Mar-2015,support,negative,4
10-Apr-2015,support,Neutral,8
11-Jan-2015,packaging,positive,4
07-Aug-2015,support,negative,1
08-Sep-2015,delivery_and_return,negative,5
18-Mar-2015,quality,Neutral,10
30-May-2015,quality,negative,7
24-Nov-2015,comparatively,Neutral,4
02-Jan-2015,comparatively,positive,4
31-May-2015,support,negative,9
25-Sep-2015,quality,positive,6
01-Dec-2015,comparatively,negative,8
14-Oct-2015,comparatively,Neutral,8
21-Mar-2015,support,negative,2
08-Jul-2015,delivery_and_return,Neutral,3
28-Apr-2015,packaging,Neutral,8
08-Dec-2015,comparatively,positive,7
04-Aug-2015,quality,positive,5
02-Oct-2015,delivery_and_return,positive,4
13-Mar-2015,comparatively,positive,6
29-Jan-2015,quality,negative,2
04-Jun-2015,quality,positive,0
30-Jan-2015,support,Neutral,1
24-May-2015,packaging,positive,2
11-Jul-2015,support,Neutral,10
18-Feb-2015,support,positive,10
27-Oct-2015,comparatively,positive,10
27-Jun-2015,support,Neutral,4
22-Feb-2015,quality,Neutral,2
03-Jun-2015,support,negative,5
02-Apr-2015,quality,positive,10
03-May-2015,packaging,negative,7
10-Aug-2015,support,Neutral,1
17-May-2015,packaging,Neutral,7
02-Dec-2015,support,positive,2
13-Jun-2015,delivery_and_return,negative,9
16-Jul-2015,packaging,Neutral,4
12-Mar-2015,delivery_and_return,negative,10
16-Nov-2015,delivery_and_return,positive,5
29-Jun-2015,comparatively,positive,9
08-Nov-2015,quality,positive,0
23-Feb-2015,support,negative,8
01-Apr-2015,delivery_and_return,negative,8
12-Oct-2015,quality,positive,1
19-Feb-2015,support,positive,0
24-Jun-2015,packaging,Neutral,0
07-Feb-2015,quality,negative,0
30-Jul-2015,comparatively,negative,0
04-Apr-2015,comparatively,positive,3
12-Mar-2015,support,negative,4
10-Dec-2015,quality,positive,0
03-Dec-2015,delivery_and_return,positive,2
26-Jan-2015,packaging,negative,3
12-Mar-2015,delivery_and_return,negative,9
10-Nov-2015,packaging,positive,7
31-May-2015,support,Neutral,10
16-Jun-2015,support,positive,0
14-Jun-2015,comparatively,negative,4
25-Nov-2015,quality,negative,0
11-Apr-2015,support,positive,3
04-Apr-2015,support,positive,4
23-Aug-2015,packaging,positive,7
19-May-2015,support,negative,10
15-Sep-2015,support,positive,8
02-Aug-2015,support,negative,8
24-Dec-2015,support,negative,6
18-May-2015,support,negative,8
03-Oct-2015,support,positive,1
08-Sep-2015,delivery_and_return,negative,1
03-Jan-2015,support,positive,10
21-Dec-2015,delivery_and_return,Neutral,2
04-Mar-2015,packaging,Neutral,5
13-Apr-2015,support,Neutral,1
13-Nov-2015,comparatively,positive,6
01-May-2015,delivery_and_return,negative,9
14-Apr-2015,support,positive,1
22-May-2015,packaging,Neutral,6
16-Nov-2015,support,negative,8
06-Apr-2015,quality,positive,2
27-Apr-2015,packaging,Neutral,4
21-May-2015,support,Neutral,8
07-Sep-2015,support,Neutral,10
21-Mar-2015,comparatively,positive,10
10-Nov-2015,packaging,positive,5
14-Feb-2015,comparatively,positive,7
30-Mar-2015,packaging,negative,9
03-Jul-2015,support,positive,6
01-Feb-2015,quality,positive,9
30-Aug-2015,comparatively,Neutral,10
10-Feb-2015,delivery_and_return,positive,3
20-Jul-2015,comparatively,positive,4
23-Sep-2015,support,Neutral,5
02-Aug-2015,support,negative,8
10-Aug-2015,comparatively,positive,6
30-Sep-2015,support,positive,9
20-May-2015,delivery_and_return,Neutral,8
26-Mar-2015,comparatively,negative,1
11-Jun-2015,quality,Neutral,0
19-Aug-2015,quality,Neutral,0
31-Jan-2015,comparatively,positive,8
24-Feb-2015,quality,negative,2
11-Mar-2015,support,positive,2
10-Oct-2015,support,Neutral,9
13-Oct-2015,packaging,negative,6
02-Jul-2015,support,Neutral,8
19-Oct-2015,quality,negative,1
11-Dec-2015,quality,Neutral,10
04-Feb-2015,support,positive,1
14-Jun-2015,support,positive,10
25-Dec-2015,delivery_and_return,positive,4
15-Jul-2015,delivery_and_return,negative,10
17-Nov-2015,support,Neutral,2
24-Mar-2015,support,positive,3
21-Mar-2015,delivery_and_return,Neutral,0
24-May-2015,support,positive,2
03-Dec-2015,support,positive,10
28-May-2015,support,negative,7
19-Oct-2015,packaging,Neutral,7
05-Nov-2015,comparatively,negative,4
21-Nov-2015,delivery_and_return,positive,6
08-May-2015,comparatively,positive,8
06-Jun-2015,comparatively,negative,2
31-May-2015,delivery_and_return,negative,0
22-Jul-2015,delivery_and_return,Neutral,0
07-Jun-2015,delivery_and_return,negative,6
15-Jan-2015,quality,Neutral,8
30-Nov-2015,support,positive,2
06-Aug-2015,delivery_and_return,negative,10
26-Dec-2015,support,negative,4
14-May-2015,support,negative,8
10-Jun-2015,packaging,positive,10
14-May-2015,support,negative,9
14-May-2015,packaging,Neutral,9
04-Jul-2015,comparatively,positive,4
09-Jan-2015,packaging,positive,8
20-Feb-2015,packaging,Neutral,4
27-Mar-2015,support,positive,4
19-May-2015,support,Neutral,7
22-Aug-2015,delivery_and_return,positive,7
04-Mar-2015,comparatively,positive,9
03-Mar-2015,comparatively,negative,7
14-Jan-2015,delivery_and_return,positive,10
23-May-2015,packaging,Neutral,5
11-Feb-2015,packaging,negative,0
19-Jul-2015,support,positive,7
26-Feb-2015,support,positive,1
01-Jan-2015,support,Neutral,4
20-Nov-2015,packaging,positive,4
11-Sep-2015,packaging,negative,7
08-Jan-2015,delivery_and_return,negative,9
22-Nov-2015,quality,positive,1
15-Feb-2015,delivery_and_return,negative,2
08-May-2015,quality,negative,8
05-Jun-2015,support,positive,7
21-Oct-2015,delivery_and_return,negative,1
29-Aug-2015,packaging,negative,7
19-Apr-2015,quality,negative,5
16-Jul-2015,comparatively,Neutral,4
28-Jun-2015,support,negative,4
16-May-2015,support,positive,0
17-Jul-2015,support,positive,10
27-Apr-2015,quality,Neutral,2
10-Jan-2015,packaging,positive,8
21-Mar-2015,support,Neutral,9
05-Jan-2015,support,positive,1
11-May-2015,support,negative,4
18-May-2015,comparatively,positive,4
21-Sep-2015,support,Neutral,5
13-Jan-2015,support,positive,7
24-Jan-2015,support,negative,9
04-Oct-2015,comparatively,positive,2
24-Aug-2015,support,Neutral,7
27-May-2015,support,negative,5
15-Jul-2015,packaging,Neutral,5
25-Aug-2015,comparatively,Neutral,1
23-Jul-2015,quality,negative,6
13-Mar-2015,support,positive,3
28-Dec-2015,packaging,positive,6
04-Sep-2015,comparatively,negative,0
22-Sep-2015,support,negative,6
26-Jun-2015,support,negative,3
16-Jan-2015,packaging,positive,2
10-Nov-2015,quality,negative,5
03-Jul-2015,packaging,Neutral,10
02-Nov-2015,support,positive,9
30-Sep-2015,support,negative,2
28-Apr-2015,packaging,positive,5
18-Aug-2015,support,positive,6
05-Jun-2015,support,negative,10
07-Sep-2015,packaging,positive,8
30-Jan-2015,packaging,Neutral,0
01-Mar-2015,comparatively,positive,3
08-Apr-2015,support,negative,3
07-May-2015,comparatively,positive,8
13-Oct-2015,packaging,positive,7
09-Sep-2015,delivery_and_return,positive,9
26-Apr-2015,packaging,Neutral,4
22-Oct-2015,support,negative,5
17-Nov-2015,quality,negative,10
02-Aug-2015,quality,Neutral,8
04-Feb-2015,support,Neutral,2
04-Jun-2015,comparatively,positive,2
18-Aug-2015,packaging,positive,4
22-Apr-2015,support,negative,4
24-Aug-2015,support,Neutral,6
02-Jun-2015,support,Neutral,1
17-Jan-2015,support,negative,7
10-Jul-2015,delivery_and_return,Neutral,0
22-Dec-2015,support,Neutral,7
11-Jul-2015,support,negative,6
25-Jul-2015,support,negative,8
15-Dec-2015,quality,positive,1
12-Aug-2015,support,Neutral,7
14-Jun-2015,quality,Neutral,7
09-May-2015,packaging,Neutral,4
08-Nov-2015,support,Neutral,2
27-Nov-2015,comparatively,positive,2
10-Sep-2015,quality,negative,9
29-Jun-2015,quality,positive,10
27-Mar-2015,packaging,positive,1
29-Dec-2015,comparatively,negative,8
23-Mar-2015,support,Neutral,8
17-Sep-2015,comparatively,negative,10
01-Apr-2015,packaging,Neutral,0
08-Mar-2015,delivery_and_return,Neutral,5
14-Jul-2015,packaging,positive,6
30-Mar-2015,delivery_and_return,positive,3
14-Jul-2015,support,negative,8
06-Apr-2015,support,Neutral,1
15-Feb-2015,delivery_and_return,Neutral,8
24-Feb-2015,quality,Neutral,7
03-Jan-2015,quality,positive,4
10-Oct-2015,quality,negative,7
25-Jun-2015,quality,Neutral,3
28-Feb-2015,support,positive,2
06-Aug-2015,comparatively,Neutral,6
26-Aug-2015,support,negative,5
22-May-2015,support,Neutral,3
20-Mar-2015,delivery_and_return,Neutral,8
08-Jun-2015,packaging,negative,2
22-Jul-2015,quality,negative,5
26-Jul-2015,support,positive,7
20-Nov-2015,support,positive,10
17-Aug-2015,quality,negative,2
21-Jun-2015,quality,Neutral,2
05-Feb-2015,packaging,negative,9
19-Jan-2015,support,positive,10
06-Aug-2015,support,positive,0
10-Dec-2015,comparatively,positive,8
30-Sep-2015,support,positive,2
